Lon,Lat,Clave,Edo,Est,Tmax
-112.78,30.83,LOLEYTA,SON,Loleyta Son. REMAS*,21.27419355
-110.84,30.85,CRISP,SON,El 15 Crisp Son. REMAS*,21.76129032
-112.91,30.85,RIVERA,SON,La Rivera Son. REMAS*,20.97096774
-112.03,31,CUCHUJAQUI,SON,Cuchujaqui Son. REMAS*,22.13225806
-110.6,31.19,SANTACRUZS,SON,Santa Cruz Son. REMAS*,18.76666667
-109.56,31.24,AGUAPRIETA,SON,km 9 Ejido Agua Prieta Son. REMAS*,18.90322581
-110.91,31.3,NOGALES,SON,Nogales Son. SMN*,19.47096774
-113.54,31.3,PTOPENASCOob,SON,Observatorio de Puerto PeÒasco Son. SMN*,20.936
-113.3,31.68,PINACATE,SON,El Pinacate Son. SMN*,22.21
-112.67,31.77,SONOYTAS,SON,Sonoyta Son. REMAS*,20.17096774
-112.85,31.87,SONOYTA,SON,Sonoyta Son. SMN*,21.88064516
-114.92,32.17,COLONIA,SON,Colonia Medano Son. REMAS*,22.59354839
-115.01,32.25,VALENZUELA,SON,Rancho Valenzuela Son. REMAS*,22.15483871
-114.96,32.31,QUIROZ,SON,Rancho Quiroz Son. REMAS*,22.19032258
-114.87,32.33,PIVOTE,SON,Rancho El Pivote Son. REMAS*,21.95806452
-114.8,32.42,RCOLORADO,SON,San Luis RÌo Colorado Son. SMN*,22.01935484
-114.81,32.43,MOCTEZUMA,SON,Moctezuma Son. INIFAP*,22.70322581
-114.85,32.44,MONUMENTOS,SON,Monumentos Son. REMAS*,23.07096774
-111.83,30.57,CANAN,SON,El Can·n Son. REMAS*,22.40869565
-92.75,17.39,OXOTB,TAB,Oxolot·n Tab.,28.1
-91.48,17.43,BDCTB,TAB,Boca del Cerro Tab.,28.65517241
-92.97,17.57,TEATB,TAB,Teapa Tab.,31.65517241
-92.94,17.57,PUYTB,TAB,Puyacatengo Tab.,28.61111111
-92.6,17.77,MACTB,TAB,Macuspana Tab.,28.38
-93.38,18,CARTB,TAB,C·rdenas Tab.,28.23214286
-92.88,17.85,PNVTB,TAB,Pueblo Nuevo Tab.,28.75
